ID,Main,Description,Day Icon,Night Icon,
200,Thunderstorm,thunderstorm with light rain,wi-day-storm-showers,wi-night-alt-storm-showers,
201,Thunderstorm,thunderstorm with rain,wi-day-thunderstorm,wi-night-alt-thunderstorm,
202,Thunderstorm,thunderstorm with heavy rain,wi-day-thunderstorm,wi-night-alt-thunderstorm,
210,Thunderstorm,light thunderstorm,wi-day-lightning,wi-night-lightning,
211,Thunderstorm,thunderstorm,wi-day-lightning,wi-night-lightning,
212,Thunderstorm,heavy thunderstorm,wi-day-lightning,wi-night-lightning,
221,Thunderstorm,ragged thunderstorm,wi-day-lightning,wi-night-lightning,
230,Thunderstorm,thunderstorm with light drizzle,wi-day-storm-showers,wi-night-alt-storm-showers,
231,Thunderstorm,thunderstorm with drizzle,wi-day-thunderstorm,wi-night-alt-thunderstorm,
232,Thunderstorm,thunderstorm with heavy drizzle,wi-day-thunderstorm,wi-night-alt-thunderstorm,
300,Drizzle,light intensity drizzle,wi-day-sprinkle,wi-night-alt-sprinkle,
301,Drizzle,drizzle,wi-day-sprinkle,wi-night-alt-sprinkle,
302,Drizzle,heavy intensity drizzle,wi-day-sprinkle,wi-night-alt-sprinkle,
310,Drizzle,light intensity drizzle rain,wi-day-sprinkle,wi-night-alt-sprinkle,
311,Drizzle,drizzle rain,wi-day-sprinkle,wi-night-alt-sprinkle,
312,Drizzle,heavy intensity drizzle rain,wi-day-sprinkle,wi-night-alt-sprinkle,
313,Drizzle,shower rain and drizzle,wi-day-sprinkle,wi-night-alt-sprinkle,
314,Drizzle,heavy shower rain and drizzle,wi-day-sprinkle,wi-night-alt-sprinkle,
321,Drizzle,shower drizzle,wi-day-sprinkle,wi-night-alt-sprinkle,
500,Rain,light rain,wi-day-rain,wi-night-alt-rain,
501,Rain,moderate rain,wi-day-rain,wi-night-alt-rain,
502,Rain,heavy intensity rain,wi-day-rain,wi-night-alt-rain,
503,Rain,very heavy rain,wi-day-rain,wi-night-alt-rain,
504,Rain,extreme rain,wi-day-rain,wi-day-rain,
511,Rain,freezing rain,wi-day-rain,wi-night-alt-rain,
520,Rain,light intensity shower rain,wi-day-showers,wi-night-alt-showers,
521,Rain,shower rain,wi-day-showers,wi-night-alt-showers,
522,Rain,heavy intensity shower rain,wi-day-showers,wi-night-alt-showers,
531,Rain,ragged shower rain,wi-day-showers,wi-night-alt-showers,
600,Snow,light snow,wi-day-snow,wi-night-alt-snow,
601,Snow,Snow,wi-day-snow,wi-night-alt-snow,
602,Snow,Heavy snow,wi-day-snow,wi-night-alt-snow,
611,Snow,Sleet,wi-day-sleet,wi-night-alt-sleet,
612,Snow,Light shower sleet,wi-day-sleet,wi-night-alt-sleet,
613,Snow,Shower sleet,wi-day-sleet,wi-night-alt-sleet,
615,Snow,Light rain and snow,wi-day-sleet,wi-night-alt-sleet,
616,Snow,Rain and snow,wi-day-sleet,wi-night-alt-sleet,
620,Snow,Light shower snow,wi-day-snow,wi-night-alt-snow,
621,Snow,Shower snow,wi-day-snow,wi-night-alt-snow,
622,Snow,Heavy shower snow,wi-day-snow,wi-night-alt-snow,
701,Mist,mist,wi-day-haze,wi-day-haze,Similar ish to haze
711,Smoke,Smoke,wi-smoke,wi-smoke,
721,Haze,Haze,wi-day-haze,wi-day-haze,
731,Dust,sand/ dust whirls,wi-dust,wi-dust,
741,Fog,fog,wi-day-fog,wi-night-fog,
751,Sand,sand,wi-sandstorm,wi-sandstorm,
761,Dust,dust,wi-dust,wi-dust,
762,Ash,volcanic ash,wi-volcano,wi-volcano,
771,Squall,squalls,wi-strong-wind,wi-strong-wind,
781,Tornado,tornado,wi-tornado,wi-tornado,
800,Clear,clear sky,wi-day-sunny,wi-night-clear,
801,Clouds,few clouds: 11-25%,wi-day-sunny,wi-night-clear,
802,Clouds,scattered clouds: 25-50%,wi-day-cloudy,wi-night-alt-cloudy,
803,Clouds,broken clouds: 51-84%,wi-day-cloudy,wi-night-alt-cloudy,
804,Clouds,overcast clouds: 85-100%,wi-day-cloudy,wi-night-alt-cloudy,
